id,title,description,category,price,brand,tags
P001,FitPro Home Gym Product 1,"An excellent home gym product by FitPro, perfect for enhancing your fitness journey.",Home Gym,29.33,FitPro,"dumbbells,weights,strength,training"
P002,TrackFit Strength Training Product 2,"An excellent strength training product by TrackFit, perfect for enhancing your fitness journey.",Strength Training,44.07,TrackFit,"protein,whey,muscle,recovery"
P003,FitPro Recovery Product 3,"An excellent recovery product by FitPro, perfect for enhancing your fitness journey.",Recovery,49.11,FitPro,"protein,whey,muscle,recovery"
P004,StrongCore Recovery Product 4,"An excellent recovery product by StrongCore, perfect for enhancing your fitness journey.",Recovery,51.39,StrongCore,"cardio,jump,rope,fitness"
P005,MuscleFuel Strength Training Product 5,"An excellent strength training product by MuscleFuel, perfect for enhancing your fitness journey.",Strength Training,18.39,MuscleFuel,"yoga,mat,workout,wellness"
P006,IronFit Recovery Product 6,"An excellent recovery product by IronFit, perfect for enhancing your fitness journey.",Recovery,47.65,IronFit,"kettlebell,weights,training,functional"
P007,TeaHouse Functional Training Product 7,"An excellent functional training product by TeaHouse, perfect for enhancing your fitness journey.",Functional Training,73.06,TeaHouse,"green tea,metabolism,weight loss,nutrition"
P008,StrongCore Strength Training Product 8,"An excellent strength training product by StrongCore, perfect for enhancing your fitness journey.",Strength Training,44.7,StrongCore,"resistance,strength,muscle,workout"
P009,StrongCore Functional Training Product 9,"An excellent functional training product by StrongCore, perfect for enhancing your fitness journey.",Functional Training,44.5,StrongCore,"protein,whey,muscle,recovery"
P010,StrongCore Recovery Product 10,"An excellent recovery product by StrongCore, perfect for enhancing your fitness journey.",Recovery,27.24,StrongCore,"fitness tracker,wearable,heart rate,steps"
P011,StrongCore Cardio Product 11,"An excellent cardio product by StrongCore, perfect for enhancing your fitness journey.",Cardio,95.63,StrongCore,"dumbbells,weights,strength,training"
P012,TrackFit Wearables Product 12,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,20.88,TrackFit,"dumbbells,weights,strength,training"
P013,FitPro Strength Training Product 13,"An excellent strength training product by FitPro, perfect for enhancing your fitness journey.",Strength Training,41.61,FitPro,"fitness tracker,wearable,heart rate,steps"
P014,TrackFit Wearables Product 14,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,99.01,TrackFit,"green tea,metabolism,weight loss,nutrition"
P015,TrackFit Wearables Product 15,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,41.2,TrackFit,"green tea,metabolism,weight loss,nutrition"
P016,FitPro Yoga & Wellness Product 16,"An excellent yoga & wellness product by FitPro, perfect for enhancing your fitness journey.",Yoga & Wellness,13.87,FitPro,"pre-workout,energy,performance,nutrition"
P017,TrackFit Recovery Product 17,"An excellent recovery product by TrackFit, perfect for enhancing your fitness journey.",Recovery,39.62,TrackFit,"yoga,mat,workout,wellness"
P018,MuscleFuel Functional Training Product 18,"An excellent functional training product by MuscleFuel, perfect for enhancing your fitness journey.",Functional Training,18.31,MuscleFuel,"green tea,metabolism,weight loss,nutrition"
P019,IronFit Home Gym Product 19,"An excellent home gym product by IronFit, perfect for enhancing your fitness journey.",Home Gym,67.34,IronFit,"foam roller,recovery,massage,fitness"
P020,TeaHouse Cardio Product 20,"An excellent cardio product by TeaHouse, perfect for enhancing your fitness journey.",Cardio,61.7,TeaHouse,"green tea,metabolism,weight loss,nutrition"
P021,ZenGear Recovery Product 21,"An excellent recovery product by ZenGear, perfect for enhancing your fitness journey.",Recovery,71.66,ZenGear,"resistance,strength,muscle,workout"
P022,TeaHouse Recovery Product 22,"An excellent recovery product by TeaHouse, perfect for enhancing your fitness journey.",Recovery,42.58,TeaHouse,"protein,whey,muscle,recovery"
P023,ZenGear Wearables Product 23,"An excellent wearables product by ZenGear, perfect for enhancing your fitness journey.",Wearables,13.3,ZenGear,"cardio,jump,rope,fitness"
P024,CardioMax Yoga & Wellness Product 24,"An excellent yoga & wellness product by CardioMax, perfect for enhancing your fitness journey.",Yoga & Wellness,79.03,CardioMax,"protein,whey,muscle,recovery"
P025,TrackFit Functional Training Product 25,"An excellent functional training product by TrackFit, perfect for enhancing your fitness journey.",Functional Training,24.3,TrackFit,"protein,whey,muscle,recovery"
P026,ZenGear Functional Training Product 26,"An excellent functional training product by ZenGear, perfect for enhancing your fitness journey.",Functional Training,92.27,ZenGear,"protein,whey,muscle,recovery"
P027,StrongCore Wearables Product 27,"An excellent wearables product by StrongCore, perfect for enhancing your fitness journey.",Wearables,58.69,StrongCore,"resistance,strength,muscle,workout"
P028,MuscleFuel Yoga & Wellness Product 28,"An excellent yoga & wellness product by MuscleFuel, perfect for enhancing your fitness journey.",Yoga & Wellness,14.02,MuscleFuel,"green tea,metabolism,weight loss,nutrition"
P029,TeaHouse Functional Training Product 29,"An excellent functional training product by TeaHouse, perfect for enhancing your fitness journey.",Functional Training,66.54,TeaHouse,"foam roller,recovery,massage,fitness"
P030,TrackFit Recovery Product 30,"An excellent recovery product by TrackFit, perfect for enhancing your fitness journey.",Recovery,13.63,TrackFit,"yoga,mat,workout,wellness"
P031,TrackFit Home Gym Product 31,"An excellent home gym product by TrackFit, perfect for enhancing your fitness journey.",Home Gym,58.33,TrackFit,"kettlebell,weights,training,functional"
P032,TeaHouse Nutrition Product 32,"An excellent nutrition product by TeaHouse, perfect for enhancing your fitness journey.",Nutrition,47.4,TeaHouse,"green tea,metabolism,weight loss,nutrition"
P033,ZenGear Wearables Product 33,"An excellent wearables product by ZenGear, perfect for enhancing your fitness journey.",Wearables,74.7,ZenGear,"protein,whey,muscle,recovery"
P034,MuscleFuel Cardio Product 34,"An excellent cardio product by MuscleFuel, perfect for enhancing your fitness journey.",Cardio,48.94,MuscleFuel,"foam roller,recovery,massage,fitness"
P035,ZenGear Functional Training Product 35,"An excellent functional training product by ZenGear, perfect for enhancing your fitness journey.",Functional Training,38.7,ZenGear,"cardio,jump,rope,fitness"
P036,BoostMax Functional Training Product 36,"An excellent functional training product by BoostMax, perfect for enhancing your fitness journey.",Functional Training,24.83,BoostMax,"kettlebell,weights,training,functional"
P037,TrackFit Home Gym Product 37,"An excellent home gym product by TrackFit, perfect for enhancing your fitness journey.",Home Gym,89.05,TrackFit,"dumbbells,weights,strength,training"
P038,RecoveryPro Wearables Product 38,"An excellent wearables product by RecoveryPro, perfect for enhancing your fitness journey.",Wearables,91.12,RecoveryPro,"resistance,strength,muscle,workout"
P039,BoostMax Home Gym Product 39,"An excellent home gym product by BoostMax, perfect for enhancing your fitness journey.",Home Gym,38.89,BoostMax,"dumbbells,weights,strength,training"
P040,ZenGear Home Gym Product 40,"An excellent home gym product by ZenGear, perfect for enhancing your fitness journey.",Home Gym,40.18,ZenGear,"protein,whey,muscle,recovery"
P041,RecoveryPro Recovery Product 41,"An excellent recovery product by RecoveryPro, perfect for enhancing your fitness journey.",Recovery,29.35,RecoveryPro,"pre-workout,energy,performance,nutrition"
P042,TrackFit Wearables Product 42,"An excellent wearables product by TrackFit, perfect for enhancing your fitness journey.",Wearables,75.02,TrackFit,"dumbbells,weights,strength,training"
P043,TeaHouse Strength Training Product 43,"An excellent strength training product by TeaHouse, perfect for enhancing your fitness journey.",Strength Training,54.91,TeaHouse,"cardio,jump,rope,fitness"
P044,ZenGear Recovery Product 44,"An excellent recovery product by ZenGear, perfect for enhancing your fitness journey.",Recovery,59.41,ZenGear,"resistance,strength,muscle,workout"
P045,IronFit Recovery Product 45,"An excellent recovery product by IronFit, perfect for enhancing your fitness journey.",Recovery,70.38,IronFit,"kettlebell,weights,training,functional"
P046,RecoveryPro Functional Training Product 46,"An excellent functional training product by RecoveryPro, perfect for enhancing your fitness journey.",Functional Training,61.45,RecoveryPro,"dumbbells,weights,strength,training"
P047,TeaHouse Functional Training Product 47,"An excellent functional training product by TeaHouse, perfect for enhancing your fitness journey.",Functional Training,47.74,TeaHouse,"pre-workout,energy,performance,nutrition"
P048,IronFit Cardio Product 48,"An excellent cardio product by IronFit, perfect for enhancing your fitness journey.",Cardio,24.78,IronFit,"protein,whey,muscle,recovery"
P049,FitPro Functional Training Product 49,"An excellent functional training product by FitPro, perfect for enhancing your fitness journey.",Functional Training,96.36,FitPro,"fitness tracker,wearable,heart rate,steps"
P050,StrongCore Functional Training Product 50,"An excellent functional training product by StrongCore, perfect for enhancing your fitness journey.",Functional Training,68.3,StrongCore,"yoga,mat,workout,wellness"
P051,MuscleFuel Recovery Product 51,"An excellent recovery product by MuscleFuel, perfect for enhancing your fitness journey.",Recovery,53.39,MuscleFuel,"resistance,strength,muscle,workout"
P052,MuscleFuel Home Gym Product 52,"An excellent home gym product by MuscleFuel, perfect for enhancing your fitness journey.",Home Gym,62.79,MuscleFuel,"pre-workout,energy,performance,nutrition"
P053,StrongCore Functional Training Product 53,"An excellent functional training product by StrongCore, perfect for enhancing your fitness journey.",Functional Training,96.22,StrongCore,"cardio,jump,rope,fitness"
P054,BoostMax Cardio Product 54,"An excellent cardio product by BoostMax, perfect for enhancing your fitness journey.",Cardio,88.09,BoostMax,"fitness tracker,wearable,heart rate,steps"
P055,MuscleFuel Recovery Product 55,"An excellent recovery product by MuscleFuel, perfect for enhancing your fitness journey.",Recovery,19.55,MuscleFuel,"protein,whey,muscle,recovery"
P056,IronFit Yoga & Wellness Product 56,"An excellent yoga & wellness product by IronFit, perfect for enhancing your fitness journey.",Yoga & Wellness,97.67,IronFit,"dumbbells,weights,strength,training"
P057,IronFit Nutrition Product 57,"An excellent nutrition product by IronFit, perfect for enhancing your fitness journey.",Nutrition,65.51,IronFit,"dumbbells,weights,strength,training"
P058,ZenGear Functional Training Product 58,"An excellent functional training product by ZenGear, perfect for enhancing your fitness journey.",Functional Training,65.71,ZenGear,"resistance,strength,muscle,workout"
P059,TeaHouse Functional Training Product 59,"An excellent functional training product by TeaHouse, perfect for enhancing your fitness journey.",Functional Training,99.23,TeaHouse,"pre-workout,energy,performance,nutrition"
P060,StrongCore Yoga & Wellness Product 60,"An excellent yoga & wellness product by StrongCore, perfect for enhancing your fitness journey.",Yoga & Wellness,74.5,StrongCore,"protein,whey,muscle,recovery"
P061,TrackFit Strength Training Product 61,"An excellent strength training product by TrackFit, perfect for enhancing your fitness journey.",Strength Training,19.36,TrackFit,"cardio,jump,rope,fitness"
P062,StrongCore Wearables Product 62,"An excellent wearables product by StrongCore, perfect for enhancing your fitness journey.",Wearables,36.55,StrongCore,"kettlebell,weights,training,functional"
P063,StrongCore Yoga & Wellness Product 63,"An excellent yoga & wellness product by StrongCore, perfect for enhancing your fitness journey.",Yoga & Wellness,16.21,StrongCore,"dumbbells,weights,strength,training"
P064,TrackFit Strength Training Product 64,"An excellent strength training product by TrackFit, perfect for enhancing your fitness journey.",Strength Training,57.06,TrackFit,"pre-workout,energy,performance,nutrition"
P065,StrongCore Cardio Product 65,"An excellent cardio product by StrongCore, perfect for enhancing your fitness journey.",Cardio,70.77,StrongCore,"protein,whey,muscle,recovery"
P066,TeaHouse Cardio Product 66,"An excellent cardio product by TeaHouse, perfect for enhancing your fitness journey.",Cardio,35.53,TeaHouse,"dumbbells,weights,strength,training"
P067,MuscleFuel Recovery Product 67,"An excellent recovery product by MuscleFuel, perfect for enhancing your fitness journey.",Recovery,62.41,MuscleFuel,"dumbbells,weights,strength,training"
P068,MuscleFuel Cardio Product 68,"An excellent cardio product by MuscleFuel, perfect for enhancing your fitness journey.",Cardio,86.51,MuscleFuel,"pre-workout,energy,performance,nutrition"
P069,ZenGear Functional Training Product 69,"An excellent functional training product by ZenGear, perfect for enhancing your fitness journey.",Functional Training,61.49,ZenGear,"kettlebell,weights,training,functional"
P070,RecoveryPro Nutrition Product 70,"An excellent nutrition product by RecoveryPro, perfect for enhancing your fitness journey.",Nutrition,52.94,RecoveryPro,"yoga,mat,workout,wellness"
P071,ZenGear Wearables Product 71,"An excellent wearables product by ZenGear, perfect for enhancing your fitness journey.",Wearables,52.82,ZenGear,"protein,whey,muscle,recovery"
P072,FitPro Recovery Product 72,"An excellent recovery product by FitPro, perfect for enhancing your fitness journey.",Recovery,61.05,FitPro,"green tea,metabolism,weight loss,nutrition"
P073,TrackFit Home Gym Product 73,"An excellent home gym product by TrackFit, perfect for enhancing your fitness journey.",Home Gym,40.6,TrackFit,"dumbbells,weights,strength,training"
P074,StrongCore Recovery Product 74,"An excellent recovery product by StrongCore, perfect for enhancing your fitness journey.",Recovery,89.49,StrongCore,"cardio,jump,rope,fitness"
P075,RecoveryPro Nutrition Product 75,"An excellent nutrition product by RecoveryPro, perfect for enhancing your fitness journey.",Nutrition,72.24,RecoveryPro,"fitness tracker,wearable,heart rate,steps"
P076,CardioMax Home Gym Product 76,"An excellent home gym product by CardioMax, perfect for enhancing your fitness journey.",Home Gym,17.34,CardioMax,"pre-workout,energy,performance,nutrition"
P077,StrongCore Recovery Product 77,"An excellent recovery product by StrongCore, perfect for enhancing your fitness journey.",Recovery,52.52,StrongCore,"protein,whey,muscle,recovery"
P078,BoostMax Wearables Product 78,"An excellent wearables product by BoostMax, perfect for enhancing your fitness journey.",Wearables,56.85,BoostMax,"kettlebell,weights,training,functional"
P079,BoostMax Cardio Product 79,"An excellent cardio product by BoostMax, perfect for enhancing your fitness journey.",Cardio,82.21,BoostMax,"green tea,metabolism,weight loss,nutrition"
P080,ZenGear Functional Training Product 80,"An excellent functional training product by ZenGear, perfect for enhancing your fitness journey.",Functional Training,73.4,ZenGear,"cardio,jump,rope,fitness"
P081,StrongCore Strength Training Product 81,"An excellent strength training product by StrongCore, perfect for enhancing your fitness journey.",Strength Training,37.19,StrongCore,"fitness tracker,wearable,heart rate,steps"
P082,BoostMax Strength Training Product 82,"An excellent strength training product by BoostMax, perfect for enhancing your fitness journey.",Strength Training,80.78,BoostMax,"yoga,mat,workout,wellness"
P083,RecoveryPro Home Gym Product 83,"An excellent home gym product by RecoveryPro, perfect for enhancing your fitness journey.",Home Gym,78.06,RecoveryPro,"resistance,strength,muscle,workout"
P084,TeaHouse Recovery Product 84,"An excellent recovery product by TeaHouse, perfect for enhancing your fitness journey.",Recovery,19.15,TeaHouse,"green tea,metabolism,weight loss,nutrition"
P085,CardioMax Wearables Product 85,"An excellent wearables product by CardioMax, perfect for enhancing your fitness journey.",Wearables,47.92,CardioMax,"pre-workout,energy,performance,nutrition"
P086,CardioMax Home Gym Product 86,"An excellent home gym product by CardioMax, perfect for enhancing your fitness journey.",Home Gym,14.9,CardioMax,"protein,whey,muscle,recovery"
P087,ZenGear Nutrition Product 87,"An excellent nutrition product by ZenGear, perfect for enhancing your fitness journey.",Nutrition,95.8,ZenGear,"protein,whey,muscle,recovery"
P088,RecoveryPro Home Gym Product 88,"An excellent home gym product by RecoveryPro, perfect for enhancing your fitness journey.",Home Gym,55.12,RecoveryPro,"foam roller,recovery,massage,fitness"
P089,TrackFit Yoga & Wellness Product 89,"An excellent yoga & wellness product by TrackFit, perfect for enhancing your fitness journey.",Yoga & Wellness,10.31,TrackFit,"kettlebell,weights,training,functional"
P090,FitPro Cardio Product 90,"An excellent cardio product by FitPro, perfect for enhancing your fitness journey.",Cardio,63.07,FitPro,"kettlebell,weights,training,functional"
P091,BoostMax Nutrition Product 91,"An excellent nutrition product by BoostMax, perfect for enhancing your fitness journey.",Nutrition,88.29,BoostMax,"kettlebell,weights,training,functional"
P092,IronFit Yoga & Wellness Product 92,"An excellent yoga & wellness product by IronFit, perfect for enhancing your fitness journey.",Yoga & Wellness,68.26,IronFit,"dumbbells,weights,strength,training"
P093,RecoveryPro Functional Training Product 93,"An excellent functional training product by RecoveryPro, perfect for enhancing your fitness journey.",Functional Training,31.55,RecoveryPro,"yoga,mat,workout,wellness"
P094,BoostMax Yoga & Wellness Product 94,"An excellent yoga & wellness product by BoostMax, perfect for enhancing your fitness journey.",Yoga & Wellness,67.27,BoostMax,"resistance,strength,muscle,workout"
P095,CardioMax Wearables Product 95,"An excellent wearables product by CardioMax, perfect for enhancing your fitness journey.",Wearables,67.16,CardioMax,"dumbbells,weights,strength,training"
P096,MuscleFuel Cardio Product 96,"An excellent cardio product by MuscleFuel, perfect for enhancing your fitness journey.",Cardio,79.94,MuscleFuel,"dumbbells,weights,strength,training"
P097,FitPro Strength Training Product 97,"An excellent strength training product by FitPro, perfect for enhancing your fitness journey.",Strength Training,61.47,FitPro,"foam roller,recovery,massage,fitness"
P098,IronFit Nutrition Product 98,"An excellent nutrition product by IronFit, perfect for enhancing your fitness journey.",Nutrition,35.34,IronFit,"cardio,jump,rope,fitness"
P099,FitPro Home Gym Product 99,"An excellent home gym product by FitPro, perfect for enhancing your fitness journey.",Home Gym,82.94,FitPro,"foam roller,recovery,massage,fitness"
P100,ZenGear Recovery Product 100,"An excellent recovery product by ZenGear, perfect for enhancing your fitness journey.",Recovery,63.31,ZenGear,"green tea,metabolism,weight loss,nutrition"
P101,RecoveryPro Strength Training Product 101,"An excellent strength training product by RecoveryPro, perfect for enhancing your fitness journey.",Strength Training,59.04,RecoveryPro,"fitness tracker,wearable,heart rate,steps"
P102,FitPro Functional Training Product 102,"An excellent functional training product by FitPro, perfect for enhancing your fitness journey.",Functional Training,50.86,FitPro,"cardio,jump,rope,fitness"
P103,TrackFit Home Gym Product 103,"An excellent home gym product by TrackFit, perfect for enhancing your fitness journey.",Home Gym,57.74,TrackFit,"foam roller,recovery,massage,fitness"
P104,RecoveryPro Recovery Product 104,"An excellent recovery product by RecoveryPro, perfect for enhancing your fitness journey.",Recovery,12.77,RecoveryPro,"pre-workout,energy,performance,nutrition"
P105,ZenGear Wearables Product 105,"An excellent wearables product by ZenGear, perfect for enhancing your fitness journey.",Wearables,23.59,ZenGear,"pre-workout,energy,performance,nutrition"
P106,ZenGear Yoga & Wellness Product 106,"An excellent yoga & wellness product by ZenGear, perfect for enhancing your fitness journey.",Yoga & Wellness,87.67,ZenGear,"foam roller,recovery,massage,fitness"
P107,RecoveryPro Nutrition Product 107,"An excellent nutrition product by RecoveryPro, perfect for enhancing your fitness journey.",Nutrition,57.24,RecoveryPro,"green tea,metabolism,weight loss,nutrition"
P108,RecoveryPro Home Gym Product 108,"An excellent home gym product by RecoveryPro, perfect for enhancing your fitness journey.",Home Gym,63.62,RecoveryPro,"resistance,strength,muscle,workout"
P109,RecoveryPro Home Gym Product 109,"An excellent home gym product by RecoveryPro, perfect for enhancing your fitness journey.",Home Gym,32.33,RecoveryPro,"cardio,jump,rope,fitness"
P110,RecoveryPro Cardio Product 110,"An excellent cardio product by RecoveryPro, perfect for enhancing your fitness journey.",Cardio,35.39,RecoveryPro,"foam roller,recovery,massage,fitness"
P111,CardioMax Functional Training Product 111,"An excellent functional training product by CardioMax, perfect for enhancing your fitness journey.",Functional Training,59.38,CardioMax,"cardio,jump,rope,fitness"
P112,FitPro Functional Training Product 112,"An excellent functional training product by FitPro, perfect for enhancing your fitness journey.",Functional Training,80.72,FitPro,"green tea,metabolism,weight loss,nutrition"
P113,StrongCore Home Gym Product 113,"An excellent home gym product by StrongCore, perfect for enhancing your fitness journey.",Home Gym,63.59,StrongCore,"cardio,jump,rope,fitness"
P114,CardioMax Functional Training Product 114,"An excellent functional training product by CardioMax, perfect for enhancing your fitness journey.",Functional Training,78.68,CardioMax,"pre-workout,energy,performance,nutrition"
P115,BoostMax Wearables Product 115,"An excellent wearables product by BoostMax, perfect for enhancing your fitness journey.",Wearables,29.37,BoostMax,"cardio,jump,rope,fitness"
P116,CardioMax Functional Training Product 116,"An excellent functional training product by CardioMax, perfect for enhancing your fitness journey.",Functional Training,72.91,CardioMax,"cardio,jump,rope,fitness"
P117,TeaHouse Home Gym Product 117,"An excellent home gym product by TeaHouse, perfect for enhancing your fitness journey.",Home Gym,50.2,TeaHouse,"kettlebell,weights,training,functional"
P118,StrongCore Yoga & Wellness Product 118,"An excellent yoga & wellness product by StrongCore, perfect for enhancing your fitness journey.",Yoga & Wellness,79.95,StrongCore,"pre-workout,energy,performance,nutrition"
P119,ZenGear Recovery Product 119,"An excellent recovery product by ZenGear, perfect for enhancing your fitness journey.",Recovery,62.45,ZenGear,"yoga,mat,workout,wellness"
P120,IronFit Strength Training Product 120,"An excellent strength training product by IronFit, perfect for enhancing your fitness journey.",Strength Training,45.95,IronFit,"protein,whey,muscle,recovery"
P121,IronFit Recovery Product 121,"An excellent recovery product by IronFit, perfect for enhancing your fitness journey.",Recovery,43.83,IronFit,"kettlebell,weights,training,functional"
P122,StrongCore Wearables Product 122,"An excellent wearables product by StrongCore, perfect for enhancing your fitness journey.",Wearables,32.68,StrongCore,"cardio,jump,rope,fitness"
P123,ZenGear Cardio Product 123,"An excellent cardio product by ZenGear, perfect for enhancing your fitness journey.",Cardio,37.47,ZenGear,"foam roller,recovery,massage,fitness"
P124,BoostMax Strength Training Product 124,"An excellent strength training product by BoostMax, perfect for enhancing your fitness journey.",Strength Training,73.91,BoostMax,"cardio,jump,rope,fitness"
P125,MuscleFuel Nutrition Product 125,"An excellent nutrition product by MuscleFuel, perfect for enhancing your fitness journey.",Nutrition,56.93,MuscleFuel,"kettlebell,weights,training,functional"
P126,MuscleFuel Nutrition Product 126,"An excellent nutrition product by MuscleFuel, perfect for enhancing your fitness journey.",Nutrition,18.98,MuscleFuel,"protein,whey,muscle,recovery"
P127,TrackFit Cardio Product 127,"An excellent cardio product by TrackFit, perfect for enhancing your fitness journey.",Cardio,89.58,TrackFit,"dumbbells,weights,strength,training"
P128,IronFit Functional Training Product 128,"An excellent functional training product by IronFit, perfect for enhancing your fitness journey.",Functional Training,66.23,IronFit,"yoga,mat,workout,wellness"
P129,CardioMax Wearables Product 129,"An excellent wearables product by CardioMax, perfect for enhancing your fitness journey.",Wearables,86.42,CardioMax,"pre-workout,energy,performance,nutrition"
P130,IronFit Recovery Product 130,"An excellent recovery product by IronFit, perfect for enhancing your fitness journey.",Recovery,99.68,IronFit,"cardio,jump,rope,fitness"
P131,FitPro Wearables Product 131,"An excellent wearables product by FitPro, perfect for enhancing your fitness journey.",Wearables,23.7,FitPro,"green tea,metabolism,weight loss,nutrition"
P132,StrongCore Nutrition Product 132,"An excellent nutrition product by StrongCore, perfect for enhancing your fitness journey.",Nutrition,89.78,StrongCore,"fitness tracker,wearable,heart rate,steps"
P133,IronFit Strength Training Product 133,"An excellent strength training product by IronFit, perfect for enhancing your fitness journey.",Strength Training,31.51,IronFit,"dumbbells,weights,strength,training"
